Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Economic_Health_Index,Social_Economic_Index,Freedom_Trust_Index,Region_Central and Eastern Europe,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe
-1.1947918936547415,1.2355785708566882,0.5409892796038026,0.764087021289338,0.6754131445065117,0.7554834679899629,0.055783213750298766,-0.42390557973178894,0.6194605499273806,0.6928478105300472,0.2685463654631311,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.1728665604146196,1.20403783021603,1.1989327148441915,1.13560764285501,1.0621450786646016,1.23925623972456,0.3551099756545446,0.6268775410709386,1.2000119858286362,1.2885203451042995,1.117444689125384,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.1509412271744979,1.1339472954590106,0.6495391212967023,0.491422486596103,0.9269817601541261,0.08457910669351741,0.7628437050315185,-0.12312068736170895,0.7898938182024741,0.6432546391551281,-0.008671993357823413,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.129015893934376,1.082255526075709,2.101026195212742,0.3224758135395213,0.6783364725127459,1.4098781764186246,0.7002859955330124,3.1646194851713774,1.632584470197615,1.519656161578069,2.5263420682357998,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,2.6267851073127395,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.107090560694254,1.0507147854350507,1.0741576331733522,0.9920011291755662,1.28111046668713,0.8088069839056654,-0.9025375461875804,0.5268387758119817,1.2061300203689147,1.143165548502966,0.7895662690536173,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.0851652274541321,1.0498386537505875,0.516054171539546,0.9472507023685576,0.6373286768697358,0.14063204102687776,-0.9723012703245224,-0.4895951950146128,0.5881439615154005,0.7576075880801301,-0.1602670921852109,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.0632398942140104,0.9893855675226586,0.828290499765317,0.7932945015016486,0.8711949173684863,0.23316598250356566,-1.0328793054718102,-0.9770021114642673,0.8836660151536028,0.894058119120561,-0.3503278963035437,2.109093611499728,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.0413145609738885,0.9718629338334042,0.5363357215119702,0.8023919133710576,0.7362752095251968,1.1650293730004544,-0.038766033263899574,0.8537825098913795,0.6406396035338329,0.7067586869466226,1.185904231356211,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.0193892277337666,0.9648538803577023,0.18035097015549809,0.9176012426322274,0.24568392759005728,0.7059545093866135,-0.42195180068576343,-0.7707400624591667,0.21466943084552392,0.5244821738070393,0.05914574066458956,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-0.9974638944936448,0.9455789832995217,0.3005222644092836,1.0091646673583359,0.43947621333667847,0.8522779650454333,2.684474004272348,-0.9322897142933885,0.3696704009134768,0.6437765008729823,0.07048435234656995,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,4.068851871911234,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-0.975538561253523,0.9070291891831608,1.3668838568857735,0.34210707073140245,0.3653779687342093,-0.7864382244438799,-0.7937346438446087,1.519537567579642,1.0319355329701145,1.047240841489722,0.2724827891414033,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,2.6267851073127395,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-0.9536132280134011,0.8351863910572163,0.9555292298377145,1.1887188489913936,1.3210220143278022,0.2056720847842331,-0.43573033417024476,-0.6639317566939645,1.145046530394208,1.152526443066992,-0.20771811239395246,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-0.9316878947732793,0.8115308355767221,0.8990146286262116,1.1454048556374499,1.0432652519576715,1.1652290865432096,2.2190129708138406,-0.06319771769531615,0.9979554202859824,1.0963121511467862,0.7165712821499983,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-0.9097625615331574,0.8080263088388715,1.1070062785274626,0.31352572817811997,0.9949085345212109,-0.2078015199004485,0.13037734330421388,-0.51926416883828,1.1136492291254965,0.8642793848454537,-0.3994048306402679,-0.4741373235154427,5.033222956847166,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-0.8878372282930356,0.8053979137854832,1.7620878999680616,0.6441632437719568,0.3843389989968687,0.8412937201938838,-0.5940250952936804,0.9416193873242648,1.2958342893407553,1.439974400533065,1.0227993719912658,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,2.6267851073127395,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
